emptied no fresh,2
fresh towels no,2
towels no hovering,2
no hovering carpet,2
hovering carpet responsible,2
carpet responsible refilling,2
responsible refilling room,2
refilling room self,2
room self trolley,2
self trolley left,2
trolley left hallway,2
left hallway rooms,2
hallway rooms very,2
small no luggage,2
no luggage supposed,2
luggage supposed executive,2
supposed executive room,2
executive room balcony,2
room balcony not,2
balcony not given,2
not given room,2
given room smelled,2
room smelled fusty,2
smelled fusty not,2
fusty not surprised,2
not surprised lack,2
surprised lack cleaning,2
lack cleaning fridge,2
cleaning fridge freezer,2
fridge freezer disgustingly,2
freezer disgustingly dirty,2
disgustingly dirty point,2
dirty point heave,2
point heave so,2
heave so refused,2
so refused use,2
refused use not,2
use not turn,2
not turn shower,2
turn shower so,2
shower so freeze,2
so freeze burn,2
freeze burn got,2
burn got temperature,2
got temperature right,2
temperature right believe,2
right believe problem,2
believe problem air,2
air conditioning nights,2
conditioning nights developed,2
nights developed cough,2
developed cough breathing,2
cough breathing difficulties,2
breathing difficulties vanished,2
difficulties vanished soon,2
vanished soon checked,2
soon checked hotel,2
checked hotel paid,2
hotel paid wifi,2
paid wifi duration,2
wifi duration stay,2
duration stay witch,2
stay witch unbelievably,2
witch unbelievably slow,2
unbelievably slow log,2
slow log minutes,2
log minutes not,2
minutes not worth,2
worth money location,2
money location hotel,2
location hotel tourists,2
hotel tourists rubbish,2
tourists rubbish cost,2
rubbish cost taxi,2
cost taxi hotel,2
taxi hotel circular,2
hotel circular quay,2
circular quay so,2
quay so long,2
so long way,2
long way hotel,2
way hotel says,2
hotel says walkable,2
says walkable certainly,2
walkable certainly feel,2
certainly feel hotel,2
feel hotel street,2
hotel street hospital,2
street hospital so,2
hospital so hear,2
so hear ambulance,2
hear ambulance sirens,2
ambulance sirens night,2
sirens night busy,2
night busy cross,2
busy cross roads,2
cross roads so,2
roads so hear,2
so hear people,2
hear people traffic,2
people traffic night,2
traffic night bin,2
night bin lorry,2
bin lorry called,2
lorry called morning,2
called morning quarter,2
morning quarter woke,2
quarter woke area,2
woke area hotel,2
area hotel questionable,2
hotel questionable worst,2
questionable worst thing,2
worst thing morning,2
thing morning left,2
morning left couple,2
left couple traveling,2
couple traveling sharing,2
traveling sharing cockroach,2
sharing cockroach checking,2
cockroach checking morning,2
checking morning saving,2
morning saving grace,2
saving grace reception,2
grace reception staff,2
reception staff friendly,2
friendly polite tried,2
polite tried helpful,2
tried helpful appreciated,2
helpful appreciated use,2
appreciated use free,2
use free laundry,2
free laundry facilities,2
laundry facilities hotel,2
facilities hotel offered,2
fresh towels day,2
wife booked night,2
booked night room,2
night room overlooks,2
room overlooks street,2
overlooks street staff,2
street staff friendly,2
staff friendly efficient,2
friendly efficient book,2
efficient book room,2
book room not,2
room not suitable,2
not suitable standard,2
suitable standard supposedly,2
standard supposedly star,2
supposedly star hotel,2
hotel room long,2
room long black,2
long black strands,2
black strands hair,2
strands hair bath,2
hair bath sink,2
bath sink mould,2
sink mould bath,2
mould bath grouting,2
bath grouting bedroom,2
grouting bedroom c,2
bedroom c extremely,2
c extremely noisy,2
noisy no battery,2
no battery cover,2
battery cover remote,2
cover remote fridge,2
remote fridge door,2
fridge door seal,2
door seal broken,2
seal broken ripped,2
broken ripped away,2
ripped away door,2
away door causing,2
door causing condensation,2
causing condensation fridge,2
condensation fridge water,2
fridge water dripping,2
water dripping inside,2
dripping inside lounge,2
inside lounge strong,2
lounge strong mouldy,2
strong mouldy cigarette,2
mouldy cigarette smell,2
cigarette smell locked,2
smell locked adjoining,2
locked adjoining room,2
adjoining room gave,2
room gave wife,2
gave wife headache,2
wife headache large,2
headache large patch,2
large patch paint,2
patch paint stripped,2
paint stripped lounge,2
stripped lounge room,2
room wall curtains,2
wall curtains swipe,2
curtains swipe card,2
swipe card intermittent,2
card intermittent makes,2
intermittent makes using,2
makes using lifts,2
using lifts unlocking,2
lifts unlocking room,2
unlocking room door,2
room door frustrating,2
door frustrating comment,2
frustrating comment more,2
comment more expensive,2
more expensive rooms,2
expensive rooms price,2
rooms price supposed,2
price supposed reputation,2
supposed reputation hotel,2
reputation hotel not,2
not recommend great,2
recommend great location,2
great location excellent,2
location excellent customer,2
excellent customer service,2
customer service room,2
service room stank,2
room stank so,2
stank so bad,2
so bad checked,2
bad checked nd,2
checked nd night,2
night went work,2
went work cigarette,2
work cigarette smoke,2
cigarette smoke mould,2
smoke mould really,2
mould really bad,2
really bad smell,2
bad smell got,2
smell got clothes,2
got clothes beds,2
clothes beds updated,2
beds updated new,2
updated new mattresses,2
new mattresses shame,2
mattresses shame location,2
shame location excellent,2
believe hell just,2
hell just night,2
just night annam,2
night annam apartments,2
annam apartments pictures,2
apartments pictures cockroaches,2
pictures cockroaches mold,2
cockroaches mold chipped,2
mold chipped paint,2
chipped paint room,2
paint room speak,2
room speak refrigerators,2
speak refrigerators so,2
refrigerators so noisy,2
so noisy think,2
noisy think nasa,2
think nasa launched,2
nasa launched rocket,2
launched rocket over,2
rocket over building,2
over building stay,2
building stay risk,2
stay risk love,2
risk love location,2
love location appartments,2
location appartments great,2
appartments great spacieous,2
great spacieous equipped,2
spacieous equipped not,2
equipped not help,2
not help depend,2
help depend internet,2
depend internet hugely,2
internet hugely disappointed,2
hugely disappointed got,2
disappointed got kicked,2
got kicked skype,2
kicked skype calls,2
skype calls lost,2
calls lost e,2
lost e mail,2
e mail connections,2
mail connections just,2
connections just not,2
just not communicate,2
not communicate pay,2
communicate pay advance,2
pay advance tested,2
advance tested internet,2
tested internet not,2
